session_id,machine_id_proxy_for_operator,n_events,n_segments,session_start,session_end,session_duration_s,n_unique_labels_in_session
ses_20260701-164424-CHAITANYA0BCF,CHAITANYA0BCF,1613,5,2026-07-01 16:44:24.390000+00:00,2026-07-01 16:55:47.346000+00:00,682.956,2
ses_20260701-171614-CHAITANYA0BCF,CHAITANYA0BCF,2015,10,2026-07-01 17:16:14.350000+00:00,2026-07-01 17:30:13.013000+00:00,838.663,3
ses_20260701-173246-SIDDHIGUPTAB00B,SIDDHIGUPTAB00B,1439,9,2026-07-01 17:32:46.100000+00:00,2026-07-01 17:45:33.518000+00:00,767.418,2
ses_20260701-173642-NEELA9BAF,NEELA9BAF,1136,6,2026-07-01 17:36:42.813000+00:00,2026-07-01 17:47:03.748000+00:00,620.935,3
ses_20260701-175258-LAPTOP-76QMG9DE,LAPTOP-76QMG9DE,1550,8,2026-07-01 17:52:58.085000+00:00,2026-07-01 18:06:36.075000+00:00,817.99,3
ses_20260701-175747-SIDDHIGUPTAB00B,SIDDHIGUPTAB00B,1309,8,2026-07-01 17:57:47.661000+00:00,2026-07-01 18:09:18.447000+00:00,690.786,3
ses_20260701-180923-NEELA9BAF,NEELA9BAF,1349,7,2026-07-01 18:09:23.713000+00:00,2026-07-01 18:22:03.575000+00:00,759.862,3
ses_20260701-181413-LAPTOP-76QMG9DE,LAPTOP-76QMG9DE,1518,8,2026-07-01 18:14:13.186000+00:00,2026-07-01 18:27:18.448000+00:00,785.262,3
ses_20260701-181913-SIDDHIGUPTAB00B,SIDDHIGUPTAB00B,1165,5,2026-07-01 18:19:13.159000+00:00,2026-07-01 18:29:29.277000+00:00,616.118,3
ses_20260701-182634-NEELA9BAF,NEELA9BAF,1001,6,2026-07-01 18:26:34.400000+00:00,2026-07-01 18:37:05.834000+00:00,631.434,2
ses_20260701-183232-LAPTOP-76QMG9DE,LAPTOP-76QMG9DE,781,5,2026-07-01 18:32:32.132000+00:00,2026-07-01 18:39:41.610000+00:00,429.478,2
ses_20260701-184201-LAPTOP-76QMG9DE,LAPTOP-76QMG9DE,1895,8,2026-07-01 18:42:01.374000+00:00,2026-07-01 18:58:28.158000+00:00,986.784,2
ses_20260701-190250-NEELA9BAF,NEELA9BAF,1146,6,2026-07-01 19:02:50.219000+00:00,2026-07-01 19:12:55.612000+00:00,605.393,3
ses_20260701-191537-LAPTOP-76QMG9DE,LAPTOP-76QMG9DE,1562,6,2026-07-01 19:15:37.798000+00:00,2026-07-01 19:26:55.504000+00:00,677.706,3
ses_20260701-192455-NEELA9BAF,NEELA9BAF,998,1,2026-07-01 19:24:55.727000+00:00,2026-07-01 19:35:59.773000+00:00,664.046,1
