iter	Passed	Remaining
0	12	3624
1	19	2957
2	29	2894
3	36	2709
4	46	2717
5	53	2601
6	62	2623
7	70	2588
8	83	2709
9	100	2917
10	110	2915
11	129	3116
12	142	3140
13	152	3118
14	163	3105
15	174	3096
16	183	3060
17	195	3070
18	208	3078
19	221	3100
20	233	3100
21	247	3126
22	261	3146
23	273	3140
24	283	3122
25	295	3118
26	307	3110
27	320	3115
28	331	3097
29	342	3082
30	356	3093
31	370	3104
32	388	3141
33	404	3160
34	421	3192
35	439	3223
36	457	3251
37	475	3279
38	493	3303
39	508	3307
40	523	3308
41	535	3292
42	547	3274
43	559	3254
44	572	3243
45	584	3229
46	596	3210
47	608	3193
48	619	3173
49	629	3149
50	638	3119
51	649	3096
52	658	3071
53	669	3048
54	679	3028
55	689	3005
56	700	2987
57	711	2966
58	720	2944
59	732	2930
60	743	2912
61	752	2890
62	765	2878
63	775	2861
64	785	2840
65	797	2826
66	807	2809
67	817	2790
68	828	2773
69	838	2754
70	849	2739
71	862	2730
72	874	2719
73	883	2699
74	894	2684
75	905	2668
76	916	2654
77	927	2640
78	938	2626
79	948	2609
80	960	2597
81	972	2585
82	983	2570
83	995	2560
84	1006	2545
85	1017	2531
86	1029	2521
87	1042	2511
88	1051	2492
89	1062	2478
90	1073	2465
91	1085	2455
92	1096	2440
93	1108	2428
94	1120	2417
95	1130	2403
96	1144	2395
97	1160	2392
98	1175	2385
99	1189	2378
100	1201	2367
101	1212	2354
102	1225	2344
103	1241	2339
104	1252	2325
105	1266	2317
106	1277	2304
107	1289	2292
108	1301	2280
109	1315	2271
110	1325	2256
111	1336	2242
112	1345	2227
113	1355	2211
114	1365	2196
115	1377	2184
116	1387	2170
117	1397	2155
118	1407	2140
119	1418	2127
120	1428	2113
121	1438	2099
122	1449	2086
123	1459	2071
124	1469	2057
125	1479	2042
126	1488	2028
127	1499	2015
128	1510	2002
129	1520	1988
130	1531	1975
131	1540	1961
132	1550	1946
133	1560	1933
134	1570	1919
135	1580	1906
136	1591	1893
137	1601	1879
138	1611	1866
139	1622	1854
140	1633	1841
141	1643	1828
142	1653	1815
143	1666	1805
144	1679	1795
145	1695	1788
146	1707	1776
147	1718	1765
148	1740	1764
149	1754	1754
150	1767	1743
151	1781	1734
152	1795	1725
153	1808	1714
154	1824	1706
155	1841	1699
156	1858	1692
157	1874	1684
158	1891	1677
159	1911	1672
160	1927	1664
161	1945	1657
162	1960	1647
163	1975	1638
164	1991	1629
165	2000	1615
166	2011	1602
167	2024	1590
168	2039	1580
169	2052	1569
170	2062	1555
171	2074	1544
172	2086	1531
173	2101	1521
174	2112	1508
175	2123	1495
176	2133	1482
177	2143	1469
178	2155	1457
179	2167	1444
180	2177	1431
181	2188	1419
182	2199	1406
183	2208	1392
184	2219	1379
185	2231	1367
186	2240	1353
187	2251	1341
188	2263	1329
189	2273	1316
190	2285	1304
191	2299	1293
192	2311	1281
193	2322	1268
194	2336	1257
195	2349	1246
196	2361	1234
197	2372	1222
198	2386	1211
199	2397	1198
200	2403	1183
201	2416	1172
202	2427	1160
203	2438	1147
204	2451	1135
205	2465	1124
206	2476	1112
207	2486	1099
208	2499	1088
209	2510	1076
210	2521	1063
211	2531	1051
212	2543	1038
213	2555	1026
214	2567	1014
215	2595	1009
216	2606	997
217	2618	984
218	2632	973
219	2644	961
220	2656	949
221	2666	936
222	2678	924
223	2689	912
224	2700	900
225	2713	888
226	2725	876
227	2738	864
228	2748	852
229	2761	840
230	2773	828
231	2787	816
232	2797	804
233	2809	792
234	2820	780
235	2830	767
236	2843	755
237	2854	743
238	2864	730
239	2875	718
240	2888	707
241	2898	694
242	2912	683
243	2924	671
244	2935	659
245	2946	646
246	2957	634
247	2971	623
248	2987	611
249	3001	600
250	3014	588
251	3026	576
252	3042	565
253	3056	553
254	3067	541
255	3079	529
256	3089	516
257	3100	504
258	3109	492
259	3120	480
260	3130	467
261	3139	455
262	3150	443
263	3160	430
264	3170	418
265	3180	406
266	3189	394
267	3201	382
268	3210	370
269	3220	357
270	3230	345
271	3240	333
272	3250	321
273	3261	309
274	3270	297
275	3280	285
276	3290	273
277	3300	261
278	3310	249
279	3321	237
280	3332	225
281	3342	213
282	3351	201
283	3362	189
284	3372	177
285	3382	165
286	3394	153
287	3405	141
288	3416	130
289	3428	118
290	3440	106
291	3450	94
292	3462	82
293	3473	70
294	3482	59
295	3494	47
296	3504	35
297	3514	23
298	3525	11
299	3534	0
